ticker,monitor_bucket,in_current_scan,snapshots_seen,first_seen_snapshot,last_seen_snapshot,promotion_stage,prior_promotion_stage,stage_delta_vs_prev,dynamic_status,prior_dynamic_status,status_delta_vs_prev,validation_lane,governance_role,scan_candidate_track,scan_quality_compounder_fit,scan_quality_compounder_score,history_emergence_persistence_score,scan_event_quality_score,profile_count,pit_cluster_key,pit_free_float_ratio_current,pit_low_float_flag,pit_listing_age_days,pit_fx_return_21d,pit_fx_headwind_flag,pit_earnings_snapshot_count,pit_data_context_score,recent_score,promotion_score,dynamic_conviction_score,monitor_priority_score,needs_algo_attention
C,legacy_universe_gap,1,11,2026-03-23,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,3.3797,2.2,-0.0463,3,financial-services,1.0167,0,4148.0,0.0,0,1,0.8875,0.5658,91.9282,9.8266,5.5281,0
RELIANCE.NS,legacy_universe_gap,1,8,2026-03-28,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,3.5141,2.2,-0.0079,3,oil-gas,0.4882,0,4148.0,-0.0088,0,1,0.8875,0.0023,89.4852,7.1193,5.5118,0
6501.T,legacy_universe_gap,1,9,2026-03-27,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,3.439,2.2,-0.1125,3,industrials,0.9461,0,4148.0,-0.0011,0,1,0.8875,0.2325,91.2735,8.7198,5.5041,0
GMEXICOB.MX,legacy_universe_gap,1,8,2026-03-28,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,3.306,2.2,-0.1659,3,industrial-compounders,0.4015,0,4148.0,0.0264,0,1,0.8875,0.6068,91.5719,9.1895,5.5037,0
CEMEXCPO.MX,legacy_universe_gap,1,8,2026-03-28,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,4.4149,1.9333,-0.1954,3,basic-materials,,0,4148.0,0.0264,0,1,0.8875,0.4792,82.581,11.0809,5.5029,0
8802.T,legacy_universe_gap,1,9,2026-03-27,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,3.0387,2.2,-0.1486,3,real-estate,0.9604,0,4148.0,-0.0011,0,1,0.8875,0.5496,92.6035,9.6205,5.4531,0
CDE,legacy_universe_gap,1,11,2026-03-23,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,low,5.7853,1.4,-0.1176,3,gold-miners,0.6144,0,4148.0,0.0,0,1,0.8875,1.1827,66.2039,14.5671,5.4419,0
6503.T,legacy_universe_gap,1,9,2026-03-27,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,3.3524,2.2,-0.0666,2,industrial-compounders,0.9556,0,4148.0,-0.0011,0,1,0.8875,0.5247,92.5102,8.9207,5.4374,0
DAL,legacy_universe_gap,1,14,2026-03-20,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,3.1049,2.2,-0.071,2,industrials,0.9875,0,4148.0,0.0,0,1,0.8875,0.2978,90.7513,7.826,5.3742,0
7203.T,legacy_universe_gap,1,9,2026-03-27,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,2.5762,2.2,-0.1409,3,consumer-cyclical,0.7471,0,4148.0,-0.0011,0,1,0.8875,0.1798,90.1969,7.9949,5.3412,0
2317.TW,legacy_universe_gap,1,8,2026-03-28,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,3.0878,2.0667,-0.1309,3,technology,0.8557,0,4148.0,0.0027,0,1,0.8875,0.0193,84.8172,7.7566,5.3283,0
