ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,symbol,Name,Holding Percent,etf_name,industry_key,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score
SNOW,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,Snowflake Inc.,Strong Buy,0.0026441664,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,0,0,0,new,,,,,,,,,,,,,37.5
MPWR,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,"Monolithic Power Systems, Inc.",Strong Buy,0.0025079707,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,0,0,0,new,,,,,,,,,,,,,37.5
ADSK,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,"Autodesk, Inc.",Strong Buy,0.0024199898,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,0,0,0,new,,,,,,,,,,,,,37.5
KEYS,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,"Keysight Technologies, Inc.",Buy,0.0023089673,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,0,0,0,new,,,,,,,,,,,,,37.5
TER,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,"Teradyne, Inc.",Buy,0.0022429486,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,0,0,0,new,,,,,,,,,,,,,37.5
GEV,"{'VRT', 'industrials', 'BE', 'XLI'}",etf_holding|sector_top_company|seed_peer,BE|VRT,XLI,GE Vernova Inc.,Buy,0.036450133,industrials,GEV,GE Vernova Inc,0.0436343,State Street Industrial Select ,electrical-equipment-parts,BE,4,3,BE|VRT|XLI|industrials,0,0,0,new,,,,,,,,,,,,,33.5
UNP,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,Union Pacific Corporation,Buy,0.021627158,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5
UPS,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,"United Parcel Service, Inc.",Buy,0.012602769,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5
FDX,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,FedEx Corporation,Buy,0.01260214,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5
JCI,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,Johnson Controls International plc,Buy,0.012314244,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5
MMM,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,3M Company,Buy,0.011636999,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5
ITW,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,Illinois Tool Works Inc.,Hold,0.011476329,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5
CSX,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,CSX Corporation,Buy,0.011233439,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5
